n,mae_ah,mae_tot,n_ah_ge_05,n_tot_ge_05,flip_ah_n,flip_ah_rate,flip_1x2_n,flip_1x2_rate,mae_odds_1,mae_odds_x,mae_odds_2,n_1x2,league,season,bucket,arm,harm_D_n,harm_D_mean,harm_D_pct_pos,harm_D_pct_neg,harm_S_n,harm_S_mean,harm_S_pct_pos,harm_S_pct_neg
20,0.1875,0.125,2,2,2,0.1,0,0.0,0.33878670462470545,0.30537442592579167,0.644171199228454,20,Serie A,2024-25,GW1-2,D_BASE,,,,,,,,
20,,,,,,,,,,,,,Serie A,2024-25,GW1-2,HARM,20,0.0375,0.3,0.2,20,0.05,0.35,0.15
20,0.175,0.0375,2,0,3,0.15,1,0.05,0.2660653857272187,0.14726000676301323,0.6524983671258114,20,Serie A,2024-25,GW3-4,A_FULL,20,0.0625,0.3,0.1,20,-0.0875,0.0,0.35
20,0.1125,0.0375,0,0,2,0.1,0,0.0,0.24534236873875465,0.1986557934989785,0.44492260877495327,20,Serie A,2024-25,GW3-4,B,,,,,,,,
20,0.175,0.125,2,0,3,0.15,1,0.05,0.28754559498276244,0.14486451925463903,0.7208337437947806,20,Serie A,2024-25,GW3-4,C,,,,,,,,
20,0.1125,0.125,0,0,2,0.1,0,0.0,0.24755048142858085,0.20163632277491636,0.4737143447746373,20,Serie A,2024-25,GW3-4,D_BASE,,,,,,,,
20,,,,,,,,,,,,,Serie A,2024-25,GW3-4,HARM,20,0.0625,0.3,0.1,20,-0.0875,0.0,0.35
20,0.0625,0.1125,0,1,0,0.0,0,0.0,0.1569925722102477,0.19810423576732156,0.3298878620504884,20,Serie A,2024-25,GW5-6,A_FULL,20,-0.025,0.1,0.2,20,-0.0125,0.15,0.2
20,0.0875,0.1125,0,1,3,0.15,1,0.05,0.18909121001604262,0.22709495772114568,0.509597982086868,20,Serie A,2024-25,GW5-6,B,,,,,,,,
20,0.0625,0.125,0,1,0,0.0,0,0.0,0.157158513560816,0.1932632362724834,0.3611646720088021,20,Serie A,2024-25,GW5-6,C,,,,,,,,
20,0.1,0.125,1,1,3,0.15,1,0.05,0.1879764917928426,0.21565013321281254,0.520518491470122,20,Serie A,2024-25,GW5-6,D_BASE,,,,,,,,
20,,,,,,,,,,,,,Serie A,2024-25,GW5-6,HARM,20,-0.025,0.1,0.2,20,-0.0125,0.15,0.2
20,0.1875,0.15,3,2,2,0.1,1,0.05,0.3502671918720568,0.2931397690331786,1.3442040780018032,20,Serie A,2024-25,GW7-8,A_FULL,20,0.0,0.2,0.2,20,0.0,0.0,0.0
20,0.1875,0.15,2,2,2,0.1,1,0.05,0.3287020123719363,0.2780425287613338,0.7272182223504723,20,Serie A,2024-25,GW7-8,B,,,,,,,,
20,0.1875,0.15,3,2,2,0.1,1,0.05,0.35845145420950036,0.2872728031326973,1.4913695825025362,20,Serie A,2024-25,GW7-8,C,,,,,,,,
20,0.1875,0.15,2,2,2,0.1,1,0.05,0.3230695847386126,0.28335774948782805,0.7215882026335946,20,Serie A,2024-25,GW7-8,D_BASE,,,,,,,,
20,,,,,,,,,,,,,Serie A,2024-25,GW7-8,HARM,20,0.0,0.2,0.2,20,0.0,0.0,0.0
20,0.3,0.25,6,4,3,0.15,3,0.15,0.8037652789080785,0.5273362533491281,2.1221515017024926,20,Serie A,2025-26,GW1-2,A_FULL,20,0.1375,0.5,0.15,20,0.0375,0.3,0.15
20,0.1625,0.25,3,4,3,0.15,3,0.15,0.37687211123219877,0.2896116041225512,0.6965674745089103,20,Serie A,2025-26,GW1-2,B,,,,,,,,
20,0.3,0.2125,6,4,3,0.15,3,0.15,0.8683577671917397,0.4960774929523767,2.4264465089549123,20,Serie A,2025-26,GW1-2,C,,,,,,,,
20,0.1625,0.2125,3,4,3,0.15,3,0.15,0.32549663753381886,0.2620215893641457,0.8551164958683026,20,Serie A,2025-26,GW1-2,D_BASE,,,,,,,,
20,,,,,,,,,,,,,Serie A,2025-26,GW1-2,HARM,20,0.1375,0.5,0.15,20,0.0375,0.3,0.15
20,0.0875,0.1625,1,0,3,0.15,5,0.25,0.18923611472667012,0.2587850900062024,0.6686513497436662,20,Serie A,2025-26,GW3-4,A_FULL,20,-0.1,0.1,0.4,20,0.0125,0.1,0.05
20,0.1875,0.1625,3,0,6,0.3,4,0.2,0.34913198418057545,0.2669751175000805,0.6187172064868582,20,Serie A,2025-26,GW3-4,B,,,,,,,,
20,0.0875,0.15,1,0,3,0.15,5,0.25,0.2208943690436534,0.2546114900914484,0.7518080294687851,20,Serie A,2025-26,GW3-4,C,,,,,,,,
